hhid,housing,high,hh_inc,hh_size,expec_stockret_prior,expec_hpgrowth_prior,expec_irate_perc,expec_inflation_perc,expec_houseprice_perc,expec_hh_workincome_perc,expec_stockret_perc,expec_gdp_perc,expec_rent_perc,female,age_hh_head_18_24,age_hh_head_25_29,age_hh_head_30_34,age_hh_head_35_39,age_hh_head_40_44,age_hh_head_45_49,age_hh_head_50_54,age_hh_head_55_64,age_hh_head_65,age_children_none,inc_5000,inc_5000_8000,inc_8000_10000,inc_10000_12000,inc_12000_15000,inc_15000_20000,inc_20000_25000,inc_25000_30000,inc_30000_35000,inc_35000_40000,inc_40000_45000,inc_45000_50000,inc_50000_60000,inc_60000_70000,inc_70000_100000,inc_100000,atleast_bachelor,owner,stockowner,prior,z_conf_prior,expec_irate_perc_t01,expec_inflation_perc_t01,expec_houseprice_perc_t01,expec_hh_workincome_perc_t01,expec_stockret_perc_t01,expec_gdp_perc_t01,expec_rent_perc_t01,prior_t01,prior_squ,prior_squ_t01
04901526,1,1,26,1,,2,2,6,18,85,7,22,20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,-.096149743,2,6,18,,7,22,20,2,4,4
04901639,1,1,23,4,,10,2.5,25,100,10,10,30,20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,10,-.096149743,2.5,25,,10,10,30,20,10,100,100
04901789,1,1,27,2,,3,1,1,1.2,3,5,2.2,8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,-.096149743,1,1,1.2,3,5,2.2,8,3,9,9
04902013,1,1,27,5,,2,1,2.2,6,1,5,3,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,-.096149743,1,2.2,6,1,5,3,6,2,4,4
04902035,1,0,17,4,,15,1.1,2.5,3.5,1.5,3.5,2.5,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15,-.96465683,1.1,2.5,3.5,1.5,3.5,2.5,2.5,15,225,225
04902058,1,0,27,4,,5,1,2,8,10,10,8,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1.6408644,1,2,8,10,10,8,10,5,25,25
04902157,1,1,26,4,,3,1,6,5,3,3,3,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,3,-1.8331639,1,6,5,3,3,3,3,3,9,9
04902538,0,0,27,1,3,,2,2,10,5,3,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,-.096149743,2,2,10,5,3,2,3,3,9,9
04902551,0,0,27,2,8,,0,3,3,2,4,4,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,-.096149743,0,3,3,2,4,4,4,8,64,64
04902676,0,0,27,3,40,,2,4,6,2,9,5,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,40,-.96465683,2,4,6,2,9,5,6,40,1600,1600
